t uniform_x uniform_y uniform_z chordal_x chordal_y chordal_z
0.316 -0.23902 -0.310816 0.919925 -0.199941 -0.272934 0.941026
0.317 -0.243039 -0.31438 0.917658 -0.203504 -0.276631 0.939181
0.318 -0.247072 -0.317895 0.915368 -0.207092 -0.280304 0.937306
0.319 -0.251118 -0.32136 0.913054 -0.210705 -0.283953 0.9354
0.32 -0.255179 -0.324774 0.910717 -0.214343 -0.287577 0.933465
0.321 -0.259254 -0.328136 0.908358 -0.218007 -0.291175 0.931499
0.322 -0.263342 -0.331448 0.905976 -0.221696 -0.294746 0.929503
0.323 -0.267444 -0.334707 0.903573 -0.225412 -0.29829 0.927476
0.324 -0.27156 -0.337913 0.901149 -0.229154 -0.301806 0.92542
0.325 -0.275689 -0.341067 0.898704 -0.232924 -0.305293 0.923332
0.326 -0.279831 -0.344166 0.896239 -0.236721 -0.30875 0.921215
0.327 -0.283987 -0.347211 0.893754 -0.240545 -0.312176 0.919067
0.328 -0.288155 -0.350202 0.891249 -0.244398 -0.315571 0.916889
0.329 -0.292337 -0.353137 0.888726 -0.248278 -0.318934 0.91468
0.33 -0.296531 -0.356017 0.886184 -0.252187 -0.322264 0.91244
0.331 -0.300737 -0.35884 0.883624 -0.256125 -0.32556 0.910171
0.332 -0.304956 -0.361607 0.881046 -0.260092 -0.328821 0.907871
0.333 -0.309187 -0.364317 0.878451 -0.264088 -0.332045 0.90554
0.334 -0.31343 -0.366969 0.87584 -0.268114 -0.335233 0.90318
0.335 -0.317685 -0.369563 0.873212 -0.272169 -0.338383 0.900789
0.336 -0.321951 -0.372099 0.870569 -0.276255 -0.341494 0.898368
0.337 -0.326229 -0.374576 0.86791 -0.280371 -0.344565 0.895917
0.338 -0.330517 -0.376994 0.865236 -0.284517 -0.347595 0.893436
0.339 -0.334816 -0.379352 0.862549 -0.288693 -0.350583 0.890925
0.34 -0.339126 -0.38165 0.859847 -0.2929 -0.353528 0.888385
0.341 -0.343446 -0.383888 0.857132 -0.297138 -0.356428 0.885815
0.342 -0.347776 -0.386065 0.854404 -0.301406 -0.359283 0.883216
0.343 -0.352115 -0.388182 0.851663 -0.305706 -0.362092 0.880587
0.344 -0.356464 -0.390236 0.848911 -0.310036 -0.364852 0.87793
0.345 -0.360822 -0.392229 0.846147 -0.314397 -0.367564 0.875244
0.346 -0.365188 -0.39416 0.843372 -0.318789 -0.370225 0.872529
0.347 -0.369563 -0.396028 0.840586 -0.323211 -0.372835 0.869786
0.348 -0.373946 -0.397833 0.83779 -0.327665 -0.375393 0.867016
0.349 -0.378337 -0.399576 0.834985 -0.332148 -0.377896 0.864217
0.35 -0.382735 -0.401255 0.832171 -0.336663 -0.380345 0.861392
0.351 -0.38714 -0.402871 0.829348 -0.341207 -0.382737 0.85854
0.352 -0.391551 -0.404422 0.826517 -0.345782 -0.385071 0.855661
0.353 -0.395969 -0.40591 0.823678 -0.350386 -0.387346 0.852756
0.354 -0.400393 -0.407333 0.820832 -0.355019 -0.389561 0.849826
0.355 -0.404822 -0.408692 0.817979 -0.359682 -0.391714 0.84687
0.356 -0.409256 -0.409986 0.81512 -0.364373 -0.393804 0.84389
0.357 -0.413695 -0.411214 0.812255 -0.369092 -0.39583 0.840886
0.358 -0.418138 -0.412378 0.809385 -0.373839 -0.39779 0.837859
0.359 -0.422585 -0.413476 0.806511 -0.378613 -0.399683 0.834809
0.36 -0.427036 -0.414508 0.803631 -0.383413 -0.401508 0.831736
0.361 -0.431489 -0.415475 0.800748 -0.38824 -0.403264 0.828642
0.362 -0.435945 -0.416375 0.797862 -0.393092 -0.404949 0.825527
0.363 -0.440402 -0.41721 0.794973 -0.397968 -0.406561 0.822393
0.364 -0.444862 -0.417978 0.792081 -0.402867 -0.4081 0.819239
