x exact spline
-0.025025 0.984585 0.57532
-0.023023 0.986922 0.575504
-0.021021 0.989074 0.575673
-0.019019 0.991038 0.575826
-0.017017 0.992813 0.575964
-0.015015 0.994395 0.576087
-0.013013 0.995784 0.576194
-0.011011 0.996978 0.576286
-0.00900901 0.997975 0.576363
-0.00700701 0.998774 0.576424
-0.00500501 0.999374 0.57647
-0.003003 0.999775 0.576501
-0.001001 0.999975 0.576516
0.001001 0.999975 0.576516
0.003003 0.999775 0.576501
0.00500501 0.999374 0.57647
0.00700701 0.998774 0.576424
0.00900901 0.997975 0.576363
0.011011 0.996978 0.576286
0.013013 0.995784 0.576194
0.015015 0.994395 0.576087
0.017017 0.992813 0.575964
0.019019 0.991038 0.575826
0.021021 0.989074 0.575673
0.023023 0.986922 0.575504
0.025025 0.984585 0.57532
0.027027 0.982066 0.575121
0.029029 0.979368 0.574906
0.031031 0.976493 0.574676
0.033033 0.973445 0.574431
0.035035 0.970227 0.57417
0.037037 0.966844 0.573894
0.039039 0.963297 0.573603
0.041041 0.959592 0.573296
0.043043 0.955733 0.572974
0.045045 0.951723 0.572637
0.047047 0.947566 0.572284
0.049049 0.943267 0.571916
0.0510511 0.93883 0.571533
0.0530531 0.93426 0.571134
0.0550551 0.929561 0.57072
0.0570571 0.924738 0.570291
0.0590591 0.919795 0.569846
0.0610611 0.914736 0.569386
0.0630631 0.909567 0.56891
0.0650651 0.904293 0.56842
0.0670671 0.898917 0.567914
0.0690691 0.893445 0.567392
0.0710711 0.887881 0.566856
0.0730731 0.88223 0.566304
0.0750751 0.876496 0.565736
0.0770771 0.870684 0.565154
0.0790791 0.864799 0.564556
0.0810811 0.858846 0.563942
0.0830831 0.852828 0.563313
0.0850851 0.84675 0.562669
0.0870871 0.840616 0.56201
0.0890891 0.834431 0.561335
0.0910911 0.828199 0.560645
0.0930931 0.821924 0.55994
0.0950951 0.81561 0.559219
0.0970971 0.80926 0.558483
0.0990991 0.80288 0.557732
0.101101 0.796473 0.556965
0.103103 0.790042 0.556183
0.105105 0.78359 0.555386
0.107107 0.777123 0.554573
0.109109 0.770642 0.553745
0.111111 0.764151 0.552901
0.113113 0.757654 0.552043
0.115115 0.751153 0.551169
0.117117 0.744651 0.550279
0.119119 0.738152 0.549375
0.121121 0.731658 0.548455
0.123123 0.725172 0.547519
0.125125 0.718697 0.546568
0.127127 0.712234 0.545602
0.129129 0.705787 0.544621
0.131131 0.699357 0.543624
0.133133 0.692947 0.542612
0.135135 0.68656 0.541585
0.137137 0.680196 0.540542
0.139139 0.673858 0.539484
0.141141 0.667548 0.538411
