x f[0] f[1] f[2] f[3] f[0,1] f[1,2] f[2,3] f[0,1,2] f[1,2,3] f[0,1,2,3]
1.130000 0.000000 0.000000 0.756900 3.496900 0.000000 0.756900 2.740000 0.378450 0.991550 0.204367
1.140000 0.000000 0.000000 0.739600 3.459600 0.000000 0.739600 2.720000 0.369800 0.990200 0.206800
1.150000 0.000000 0.000000 0.722500 3.422500 0.000000 0.722500 2.700000 0.361250 0.988750 0.209167
1.160000 0.000000 0.000000 0.705600 3.385600 0.000000 0.705600 2.680000 0.352800 0.987200 0.211467
1.170000 0.000000 0.000000 0.688900 3.348900 0.000000 0.688900 2.660000 0.344450 0.985550 0.213700
1.180000 0.000000 0.000000 0.672400 3.312400 0.000000 0.672400 2.640000 0.336200 0.983800 0.215867
1.190000 0.000000 0.000000 0.656100 3.276100 0.000000 0.656100 2.620000 0.328050 0.981950 0.217967
1.200000 0.000000 0.000000 0.640000 3.240000 0.000000 0.640000 2.600000 0.320000 0.980000 0.220000
1.210000 0.000000 0.000000 0.624100 3.204100 0.000000 0.624100 2.580000 0.312050 0.977950 0.221967
1.220000 0.000000 0.000000 0.608400 3.168400 0.000000 0.608400 2.560000 0.304200 0.975800 0.223867
1.230000 0.000000 0.000000 0.592900 3.132900 0.000000 0.592900 2.540000 0.296450 0.973550 0.225700
1.240000 0.000000 0.000000 0.577600 3.097600 0.000000 0.577600 2.520000 0.288800 0.971200 0.227467
1.250000 0.000000 0.000000 0.562500 3.062500 0.000000 0.562500 2.500000 0.281250 0.968750 0.229167
1.260000 0.000000 0.000000 0.547600 3.027600 0.000000 0.547600 2.480000 0.273800 0.966200 0.230800
1.270000 0.000000 0.000000 0.532900 2.992900 0.000000 0.532900 2.460000 0.266450 0.963550 0.232367
1.280000 0.000000 0.000000 0.518400 2.958400 0.000000 0.518400 2.440000 0.259200 0.960800 0.233867
1.290000 0.000000 0.000000 0.504100 2.924100 0.000000 0.504100 2.420000 0.252050 0.957950 0.235300
1.300000 0.000000 0.000000 0.490000 2.890000 0.000000 0.490000 2.400000 0.245000 0.955000 0.236667
1.310000 0.000000 0.000000 0.476100 2.856100 0.000000 0.476100 2.380000 0.238050 0.951950 0.237967
1.320000 0.000000 0.000000 0.462400 2.822400 0.000000 0.462400 2.360000 0.231200 0.948800 0.239200
1.330000 0.000000 0.000000 0.448900 2.788900 0.000000 0.448900 2.340000 0.224450 0.945550 0.240367
1.340000 0.000000 0.000000 0.435600 2.755600 0.000000 0.435600 2.320000 0.217800 0.942200 0.241467
1.350000 0.000000 0.000000 0.422500 2.722500 0.000000 0.422500 2.300000 0.211250 0.938750 0.242500
1.360000 0.000000 0.000000 0.409600 2.689600 0.000000 0.409600 2.280000 0.204800 0.935200 0.243467
1.370000 0.000000 0.000000 0.396900 2.656900 0.000000 0.396900 2.260000 0.198450 0.931550 0.244367
