t uniform_x uniform_y uniform_z chordal_x chordal_y chordal_z
0.254 -0.0154278 -0.0212699 0.996955 -0.0122549 -0.016698 1.0188
0.255 -0.0187657 -0.0265808 0.99678 -0.0146326 -0.0208703 1.01863
0.256 -0.0221043 -0.0318872 0.99657 -0.0170126 -0.0250411 1.01843
0.257 -0.025444 -0.0371883 0.996325 -0.0193955 -0.0292101 1.01819
0.258 -0.0287852 -0.0424832 0.996044 -0.021782 -0.0333771 1.01791
0.259 -0.0321285 -0.0477711 0.995727 -0.0241729 -0.0375416 1.0176
0.26 -0.0354743 -0.053051 0.995375 -0.0265689 -0.0417035 1.01726
0.261 -0.038823 -0.058322 0.994988 -0.0289707 -0.0458625 1.01688
0.262 -0.0421752 -0.0635834 0.994566 -0.0313791 -0.0500182 1.01647
0.263 -0.0455312 -0.0688341 0.994108 -0.0337948 -0.0541703 1.01602
0.264 -0.0488915 -0.0740733 0.993614 -0.0362184 -0.0583186 1.01554
0.265 -0.0522567 -0.0793001 0.993086 -0.0386508 -0.0624627 1.01503
0.266 -0.0556271 -0.0845136 0.992522 -0.0410926 -0.0666024 1.01448
0.267 -0.0590032 -0.089713 0.991923 -0.0435446 -0.0707373 1.0139
0.268 -0.0623855 -0.0948974 0.991289 -0.0460075 -0.0748673 1.01328
0.269 -0.0657745 -0.100066 0.99062 -0.048482 -0.0789918 1.01263
0.27 -0.0691705 -0.105217 0.989915 -0.0509688 -0.0831108 1.01195
0.271 -0.0725741 -0.110351 0.989176 -0.0534687 -0.0872238 1.01123
0.272 -0.0759858 -0.115467 0.988401 -0.0559825 -0.0913306 1.01048
0.273 -0.0794059 -0.120563 0.987592 -0.0585107 -0.0954309 1.00969
0.274 -0.0828349 -0.125638 0.986748 -0.0610542 -0.0995243 1.00887
0.275 -0.0862734 -0.130693 0.985868 -0.0636136 -0.103611 1.00802
0.276 -0.0897218 -0.135725 0.984954 -0.0661898 -0.10769 1.00713
0.277 -0.0931804 -0.140734 0.984005 -0.0687834 -0.111761 1.00621
0.278 -0.0966499 -0.145719 0.983021 -0.0713951 -0.115824 1.00526
0.279 -0.100131 -0.15068 0.982003 -0.0740257 -0.119879 1.00427
0.28 -0.103623 -0.155615 0.980949 -0.0766758 -0.123925 1.00325
0.281 -0.107128 -0.160523 0.979861 -0.0793463 -0.127963 1.00219
0.282 -0.110645 -0.165404 0.978738 -0.0820379 -0.131991 1.0011
0.283 -0.114175 -0.170257 0.977581 -0.0847512 -0.13601 0.999978
0.284 -0.117719 -0.17508 0.976389 -0.087487 -0.140019 0.998821
0.285 -0.121277 -0.179874 0.975162 -0.090246 -0.144018 0.997631
0.286 -0.124849 -0.184636 0.973901 -0.093029 -0.148006 0.996407
0.287 -0.128437 -0.189367 0.972605 -0.0958366 -0.151984 0.99515
0.288 -0.132039 -0.194065 0.971274 -0.0986697 -0.155951 0.993859
0.289 -0.135658 -0.198729 0.96991 -0.101529 -0.159907 0.992535
0.29 -0.139293 -0.203359 0.968511 -0.104415 -0.163851 0.991177
0.291 -0.142945 -0.207953 0.967077 -0.107328 -0.167783 0.989786
0.292 -0.146614 -0.212511 0.965609 -0.11027 -0.171704 0.988361
0.293 -0.1503 -0.217032 0.964107 -0.113241 -0.175611 0.986904
0.294 -0.154005 -0.221515 0.96257 -0.116242 -0.179506 0.985413
0.295 -0.157729 -0.225959 0.961 -0.119273 -0.183388 0.983888
0.296 -0.161471 -0.230363 0.959395 -0.122335 -0.187257 0.98233
0.297 -0.165233 -0.234727 0.957755 -0.125429 -0.191112 0.98074
0.298 -0.169015 -0.239049 0.956082 -0.128556 -0.194953 0.979115
0.299 -0.172818 -0.243328 0.954375 -0.131716 -0.198779 0.977458
0.3 -0.176641 -0.247565 0.952633 -0.134911 -0.202592 0.975768
0.301 -0.180486 -0.251757 0.950857 -0.13814 -0.206389 0.974044
0.302 -0.184352 -0.255904 0.949048 -0.141404 -0.210171 0.972287
0.303 -0.188238 -0.260007 0.947206 -0.144705 -0.213938 0.970497
0.304 -0.192145 -0.264065 0.945332 -0.148043 -0.21769 0.968675
0.305 -0.196071 -0.268077 0.943425 -0.151419 -0.221425 0.966819
0.306 -0.200017 -0.272044 0.941487 -0.154833 -0.225144 0.96493
0.307 -0.203982 -0.275964 0.939517 -0.158286 -0.228846 0.963008
0.308 -0.207966 -0.279839 0.937517 -0.161779 -0.232532 0.961053
0.309 -0.211968 -0.283667 0.935488 -0.165313 -0.2362 0.959066
0.31 -0.215988 -0.287449 0.933428 -0.168888 -0.239851 0.957045
0.311 -0.220025 -0.291183 0.93134 -0.172505 -0.243484 0.954991
0.312 -0.224079 -0.29487 0.929223 -0.176165 -0.247099 0.952905
0.313 -0.228151 -0.29851 0.927078 -0.179868 -0.250695 0.950786
0.314 -0.232238 -0.302101 0.924905 -0.183615 -0.254273 0.948635
0.315 -0.236341 -0.305645 0.922706 -0.187403 -0.25783 0.946451
0.316 -0.24046 -0.30914 0.92048 -0.191233 -0.261367 0.944237
0.317 -0.244595 -0.312586 0.918228 -0.195103 -0.264883 0.941992
0.318 -0.248744 -0.315984 0.91595 -0.199013 -0.268376 0.939717
0.319 -0.252907 -0.319332 0.913647 -0.202963 -0.271847 0.937412
0.32 -0.257084 -0.32263 0.91132 -0.20695 -0.275294 0.935078
0.321 -0.261275 -0.325879 0.908969 -0.210975 -0.278716 0.932716
0.322 -0.265479 -0.329078 0.906594 -0.215037 -0.282113 0.930326
0.323 -0.269696 -0.332226 0.904197 -0.219135 -0.285485 0.927908
0.324 -0.273926 -0.335324 0.901777 -0.223268 -0.288829 0.925463
0.325 -0.278167 -0.338371 0.899335 -0.227436 -0.292146 0.922993
0.326 -0.282421 -0.341366 0.896871 -0.231637 -0.295435 0.920496
0.327 -0.286685 -0.34431 0.894386 -0.235871 -0.298695 0.917975
0.328 -0.29096 -0.347202 0.891881 -0.240138 -0.301925 0.915428
0.329 -0.295246 -0.350043 0.889356 -0.244435 -0.305125 0.912858
0.33 -0.299542 -0.352831 0.886811 -0.248764 -0.308293 0.910264
0.331 -0.303848 -0.355566 0.884248 -0.253122 -0.311429 0.907648
0.332 -0.308163 -0.358248 0.881666 -0.257509 -0.314532 0.905008
0.333 -0.312487 -0.360877 0.879066 -0.261924 -0.317601 0.902347
0.334 -0.316819 -0.363453 0.876448 -0.266367 -0.320637 0.899665
0.335 -0.32116 -0.365975 0.873814 -0.270837 -0.323637 0.896962
0.336 -0.325508 -0.368443 0.871163 -0.275332 -0.326601 0.894238
0.337 -0.329864 -0.370857 0.868496 -0.279853 -0.329528 0.891495
0.338 -0.334227 -0.373216 0.865813 -0.284398 -0.332418 0.888733
0.339 -0.338596 -0.37552 0.863116 -0.288967 -0.33527 0.885952
0.34 -0.342972 -0.377769 0.860404 -0.293559 -0.338083 0.883154
0.341 -0.347353 -0.379963 0.857678 -0.298173 -0.340856 0.880337
0.342 -0.35174 -0.382101 0.854939 -0.302808 -0.343588 0.877504
0.343 -0.356132 -0.384183 0.852186 -0.307464 -0.34628 0.874655
0.344 -0.360529 -0.386209 0.849422 -0.312139 -0.348929 0.87179
0.345 -0.36493 -0.388178 0.846645 -0.316834 -0.351535 0.868909
0.346 -0.369334 -0.390091 0.843857 -0.321547 -0.354098 0.866014
0.347 -0.373743 -0.391946 0.841058 -0.326277 -0.356617 0.863104
0.348 -0.378154 -0.393744 0.838248 -0.331024 -0.35909 0.860181
0.349 -0.382568 -0.395485 0.835429 -0.335787 -0.361518 0.857245
0.35 -0.386984 -0.397167 0.8326 -0.340565 -0.363899 0.854297
